"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"0.1uF","desc","C5,C4,C3,C2,C1,","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","5","","",
"18pF","desc","C8,C7,C6,","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","libref","2","3","","",
"1N4148WT","desc","D1,","D_SOD-523","libref","2","1","","",
"5.1V","desc","D2,","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","1","","",
"S8050","desc","Q10,Q2,Q12,Q8,Q7,Q6,Q5,Q1,","SOT-323_SC-70_Handsoldering","libref","3","8","","",
"AO3401A","desc","Q13,Q11,Q9,Q4,Q3,","SOT-23_Handsoldering","libref","3","5","","",
" 10k","desc","R10,","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","1","","",
"100k","desc","R27,R24,R22,R7,R3,","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","5","","",
"1k","desc","R42,R40,R37,","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","3","","",
"1M","desc","R43,","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","1","","",
"510R","desc","R44,","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","1","","",
"10k","desc","R51,R50,R49,R21,R47,R46,R45,R41,R39,R38,R36,R35,R34,R33,R32,R31,R30,R29,R28,R26,R25,R23,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R9,R8,R6,R5,R4,R2,R1,","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","libref","2","39","","",
"1142B50","desc","U1,","Hsop-6","libref","6","1","","",
"AP1117-33","desc","U2,","SOT-223-3_TabPin2","libref","4","1","","",
"STM32F103RCTx","desc","U3,","LQFP-64_10x10mm_P0.5mm","libref","64","1","","",
"Through Hole Items ",
"Buzzer","desc","BZ1,","MagneticBuzzer_ProSignal_ABI-010-RC","libref","2","1","","",
"DC-20V","desc","J1,","PinHeader_1x02_P2.54mm_Vertical","libref","2","1","","",
"UART","desc","J10,","PinHeader_1x03_P2.54mm_Vertical","libref","3","1","","",
"SWIO","desc","J11,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"switch","desc","J12,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"BATT+","desc","J13,","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","libref","1","1","","",
"Conn_01x07_Female","desc","J14,","PinHeader_1x07_P2.00mm_Vertical","libref","7","1","","",
"J2_C","desc","J2,","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","libref","1","1","","",
"J1_C","desc","J3,","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","libref","1","1","","",
"NTC_1","desc","J4,","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","libref","1","1","","",
"BAT_R","desc","J5,","PinHeader_1x06_P2.54mm_Vertical","libref","6","1","","",
"NTC_2","desc","J6,","Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork","libref","1","1","","",
"IIC","desc","J7,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"LED","desc","J8,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"LCD","desc","J9,","PinHeader_1x07_P2.54mm_Vertical","libref","7","1","","",
"NTC","desc","R48,","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","libref","2","1","","",
"RST","desc","SW1,","PinHeader_1x02_P2.54mm_Vertical","libref","2","1","","",
"START","desc","SW2,","PinHeader_1x02_P2.54mm_Vertical","libref","2","1","","",
"Crystal","desc","Y1,","Crystal_HC49-U_Vertical","libref","2","1","","",
