"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","20.22mm","19.275mm","20.22mm","19.275mm","20.22mm","20.3mm","T","270","0.1uF",
"C2","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","42.225mm","72.5mm","42.225mm","72.5mm","43.25mm","72.5mm","T","180","0.1uF",
"C3","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.905mm","64.4mm","53.905mm","64.4mm","52.88mm","64.4mm","T","0","0.1uF",
"C4","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.765mm","57.7mm","53.765mm","57.7mm","52.74mm","57.7mm","T","0","0.1uF",
"C5","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.775mm","61.1mm","53.775mm","61.1mm","52.75mm","61.1mm","T","0","0.1uF",
"C6","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","27.25mm","19.5mm","27.25mm","19.5mm","27.25mm","18.625mm","T","90","18pF",
"C7","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","32.25mm","19.5mm","32.25mm","19.5mm","32.25mm","18.625mm","T","90","18pF",
"C8","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","65.75mm","35.25mm","65.75mm","35.25mm","66.625mm","35.25mm","T","180","18pF",
"D1","D_SOD-523","57.5mm","74.5mm","57.5mm","74.5mm","57.5mm","75.2mm","T","270","1N4148WT",
"D2","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","65.75mm","38.75mm","65.75mm","38.75mm","64.725mm","38.75mm","T","0","5.1V",
"Q1","SOT-323_SC-70_Handsoldering","61.02mm","11.8mm","61.02mm","11.8mm","59.69mm","12.45mm","T","0","S8050",
"Q10","SOT-323_SC-70_Handsoldering","77.25mm","68.25mm","77.25mm","68.25mm","78.58mm","67.6mm","T","180","S8050",
"Q11","SOT-23_Handsoldering","68.9mm","59.12mm","68.9mm","59.12mm","70.4mm","58.17mm","T","180","AO3401A",
"Q12","SOT-323_SC-70_Handsoldering","58.17mm","70.75mm","58.17mm","70.75mm","56.84mm","71.4mm","T","0","S8050",
"Q13","SOT-23_Handsoldering","68.75mm","63.95mm","68.75mm","63.95mm","67.25mm","64.9mm","T","0","AO3401A",
"Q2","SOT-323_SC-70_Handsoldering","76.25mm","12.25mm","76.25mm","12.25mm","74.92mm","12.9mm","T","0","S8050",
"Q3","SOT-23_Handsoldering","60.78mm","18.68mm","60.78mm","18.68mm","59.28mm","19.63mm","T","0","AO3401A",
"Q4","SOT-23_Handsoldering","75.84mm","19.69mm","75.84mm","19.69mm","74.34mm","20.64mm","T","0","AO3401A",
"Q5","SOT-323_SC-70_Handsoldering","54.44mm","24.45mm","54.44mm","24.45mm","55.77mm","23.8mm","T","180","S8050",
"Q6","SOT-323_SC-70_Handsoldering","69.7mm","25.17mm","69.7mm","25.17mm","71.03mm","24.52mm","T","180","S8050",
"Q7","SOT-323_SC-70_Handsoldering","74.25mm","38.47mm","74.25mm","38.47mm","75.58mm","37.82mm","T","180","S8050",
"Q8","SOT-323_SC-70_Handsoldering","68.88mm","54.84mm","68.88mm","54.84mm","67.55mm","55.49mm","T","0","S8050",
"Q9","SOT-23_Handsoldering","80.05mm","39.5mm","80.05mm","39.5mm","79.1mm","38.0mm","T","90","AO3401A",
"R1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.09mm","12.425mm","53.09mm","12.425mm","53.09mm","13.45mm","T","270","10k",
